production_id,name,obra_title,obra_id,productora_name,synopsis,direction,theater,address,barrio,ciudad_partido,localidad,provincia,start_date,end_date,image_id,image_url,instagram,website,source,is_new
175,La fuerza de la gravedad,La fuerza de la gravedad,82831,,,,CASA TEATRO ESTUDIO,Guardia Vieja 4257,,Capital Federal,Capital Federal,Buenos Aires,,,166,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/75/000262275.jpg,,https://alternativateatral.com/obra82831-la-fuerza-de-la-gravedad,alternativateatral_api,true
176,El amateur,El amateur,82869,,,,TEATRO MAIPÚ,Maipú 380,,Banfield,Banfield,Buenos Aires,,,167,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/01/000311201.jpg,,https://alternativateatral.com/obra82869-el-amateur,alternativateatral_api,true
177,Noche Sensorial,Noche Sensorial,82878,,,,TEATRO CIEGO,Borges 1974,,Capital Federal,Capital Federal,Buenos Aires,,,168,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/90/000311090.jpg,,https://alternativateatral.com/obra82878-noche-sensorial,alternativateatral_api,true
178,Pasionaria - Retazos de una guerra,Pasionaria - Retazos de una guerra,83102,,,,TEATRO PAYRÓ,San Martin 766,,Capital Federal,Capital Federal,Buenos Aires,,,169,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/56/000262956.jpg,,https://alternativateatral.com/obra83102-pasionaria-retazos-de-una-guerra,alternativateatral_api,true
179,Analogias flamenco,Analogias flamenco,83169,,,,SALA DEL CAFÉ ARTIGAS,José Gervasio Artigas 1850,,Capital Federal,Capital Federal,Buenos Aires,,,170,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/11/000287111.jpg,,https://alternativateatral.com/obra83169-analogias-flamenco,alternativateatral_api,true
180,Gaviota,Gaviota,83256,,,,APACHETA SALA ESTUDIO,Dr. Enrique Finochietto 487,,Capital Federal,Capital Federal,Buenos Aires,,,171,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/34/000295334.jpg,,https://alternativateatral.com/obra83256-gaviota,alternativateatral_api,true
181,Malvones: Pujar en cautiverio,Malvones: Pujar en cautiverio,83406,,,,SALA SUDAKA,Portela 82,,Lomas de Zamora,Lomas de Zamora,Buenos Aires,,,172,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/18/000264018.jpg,,https://alternativateatral.com/obra83406-malvones-pujar-en-cautiverio,alternativateatral_api,true
182,Malvones: Pujar en cautiverio,Malvones: Pujar en cautiverio,83406,,,,CASA FUENTEALBA,Antártida Argentina 1735,,Almirante Brown,Almirante Brown,Buenos Aires,,,172,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/18/000264018.jpg,,https://alternativateatral.com/obra83406-malvones-pujar-en-cautiverio,alternativateatral_api,true
183,MATCH- TEATRO DEPORTE Y HUMOR,MATCH- TEATRO DEPORTE Y HUMOR,83453,,,,SALA 420,Calle 42 N° 571 entre 6 y 7,,La Plata,La Plata,Buenos Aires,,,173,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/46/000295746.jpg,,https://alternativateatral.com/obra83453-match-teatro-deporte-y-humor,alternativateatral_api,true
184,MARIANA BAGGIO Y SU BANDA PRESENTAN: A OTRA COSA MARIPOSA,MARIANA BAGGIO Y SU BANDA PRESENTAN: A OTRA COSA MARIPOSA,83596,,,,EL ALAMBIQUE,Griveo 2350,Villa Pueyrredón,CABA,Villa Pueyrredón - CABA,CABA,,,174,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/96/000311796.jpg,,https://alternativateatral.com/obra83596-mariana-baggio-y-su-banda-presentan-a-otra-cosa-mariposa,alternativateatral_api,true
